# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/loadsfx.omt
0	assets/parsed/loadsfx/loadsfx_audio/0061_retroland5.wav	retroland5	1380818	44916
1	assets/parsed/loadsfx/loadsfx_audio/0110_retroland6.wav	retroland6	2848500	26890
2	assets/parsed/loadsfx/loadsfx_audio/0117_cat_meow.wav	cat meow	3430110	33786
3	assets/parsed/loadsfx/loadsfx_audio/0121_cat_hiss.wav	cat hiss	4022628	43898
4	assets/parsed/loadsfx/loadsfx_audio/0013_goddardfood1.wav	goddardfood1	112076	29830
5	assets/parsed/loadsfx/loadsfx_audio/0020_goddardfood2.wav	goddardfood2	211286	23288
6	assets/parsed/loadsfx/loadsfx_audio/0091_jimmyfish.wav	jimmyfish	2501664	30470
7	assets/parsed/loadsfx/loadsfx_audio/0118_jimmyred.wav	jimmyred	3466438	209666
8	assets/parsed/loadsfx/loadsfx_audio/0048_jimmyself10.wav	jimmyself10	985104	26064
9	assets/parsed/loadsfx/loadsfx_audio/0024_jimmyself11.wav	jimmyself11	296020	32128
10	assets/parsed/loadsfx/loadsfx_audio/0026_jimmyself12.wav	jimmyself12	351768	31300
11	assets/parsed/loadsfx/loadsfx_audio/0027_jimmyself13.wav	jimmyself13	383068	27258
12	assets/parsed/loadsfx/loadsfx_audio/0028_jimmyself14.wav	jimmyself14	410326	29096
13	assets/parsed/loadsfx/loadsfx_audio/0029_jimmyself15.wav	jimmyself15	439422	20716
14	assets/parsed/loadsfx/loadsfx_audio/0030_jimmyself20.wav	jimmyself20	460138	15028
15	assets/parsed/loadsfx/loadsfx_audio/0031_jimmyself22.wav	jimmyself22	475166	23656
16	assets/parsed/loadsfx/loadsfx_audio/0032_jimmyself23.wav	jimmyself23	498822	40270
17	assets/parsed/loadsfx/loadsfx_audio/0033_jimmyself24.wav	jimmyself24	539092	38650
18	assets/parsed/loadsfx/loadsfx_audio/0034_jimmyself25.wav	jimmyself25	577742	29188
19	assets/parsed/loadsfx/loadsfx_audio/0035_jimmyself26.wav	jimmyself26	606930	17426
20	assets/parsed/loadsfx/loadsfx_audio/0036_jimmyself27.wav	jimmyself27	624356	31208
21	assets/parsed/loadsfx/loadsfx_audio/0037_jimmyself28.wav	jimmyself28	655564	21452
22	assets/parsed/loadsfx/loadsfx_audio/0023_jimmyself29.wav	jimmyself29	282132	13676
23	assets/parsed/loadsfx/loadsfx_audio/0039_jimmyself3.wav	jimmyself3	690692	29600
24	assets/parsed/loadsfx/loadsfx_audio/0040_jimmyself31.wav	jimmyself31	720292	24442
25	assets/parsed/loadsfx/loadsfx_audio/0041_jimmyself4.wav	jimmyself4	744734	25900
26	assets/parsed/loadsfx/loadsfx_audio/0042_jimmyself5.wav	jimmyself5	770634	21004
27	assets/parsed/loadsfx/loadsfx_audio/0043_jimmyself6.wav	jimmyself6	791638	36170
28	assets/parsed/loadsfx/loadsfx_audio/0044_jimmyself7.wav	jimmyself7	827808	36078
