# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/voicemiscellaneous.omt
0	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0000_yokiansolider4.wav	yokiansolider4	8	50388
1	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0015_yokiansolider3.wav	yokiansolider3	687600	30590
2	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0003_yokiansolider2.wav	yokiansolider2	100956	44182
3	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0005_yokiansolider1.wav	yokiansolider1	233588	113722
4	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0009_yokianofficer7.wav	yokianofficer7	429672	24406
5	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0008_yokianofficer6.wav	yokianofficer6	405192	24480
6	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0007_yokianofficer5.wav	yokianofficer5	390010	15182
7	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0014_yokianofficer4.wav	yokianofficer4	666704	20896
8	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0013_yokianofficer3.wav	yokianofficer3	631528	35176
9	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0011_yokianofficer2.wav	yokianofficer2	552846	43328
10	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0019_yokianofficer1.wav	yokianofficer1	861156	33672
11	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0012_yokianguard4.wav	yokianguard4	596174	35354
12	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0018_yokianguard3.wav	yokianguard3	842522	18634
13	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0017_yokianguard2.wav	yokianguard2	805862	36660
14	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0043_yokianguard1.wav	yokianguard1	1917022	161044
15	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0022_jimmyitem9.wav	jimmyitem9	971518	48556
16	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0023_jimmyitem8.wav	jimmyitem8	1020074	29140
17	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0024_jimmyitem7.wav	jimmyitem7	1049214	35096
18	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0025_jimmyitem6.wav	jimmyitem6	1084310	38312
19	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0026_jimmyitem5.wav	jimmyitem5	1122622	23780
20	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0027_jimmyitem4.wav	jimmyitem4	1146402	20714
21	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0028_jimmyitem3.wav	jimmyitem3	1167116	22618
22	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0029_jimmyitem2.wav	jimmyitem2	1189734	29290
23	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0030_jimmyitem10.wav	jimmyitem10	1219024	29438
24	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0002_jimmyitem1.wav	jimmyitem1	78488	20802
25	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0032_jimmygoddard29.wav	jimmygoddard29	1269264	27660
26	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0033_jimmygoddard28.wav	jimmygoddard28	1296924	40814
27	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0034_jimmygoddard27.wav	jimmygoddard27	1337738	52300
28	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0035_jimmygoddard26.wav	jimmygoddard26	1390038	52606
29	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0036_jimmygoddard24.wav	jimmygoddard24	1442644	36108
30	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0037_jimmygoddard22.wav	jimmygoddard22	1478752	32594
31	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0038_jimmygoddard20.wav	jimmygoddard20	1511346	25120
32	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0039_jimmygoddard19.wav	jimmygoddard19	1536466	33804
33	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0021_jimmygoddard18.wav	jimmygoddard18	924984	29260
34	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0020_jimmygoddard17.wav	jimmygoddard17	894828	30156
35	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0006_jimmygoddard16.wav	jimmygoddard16	347310	34560
36	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0001_jimmygoddard14.wav	jimmygoddard14	50986	27502
37	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0041_carlhelp6b.wav	carlhelp6b	1691748	101742
38	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0042_carlhelp6.wav	carlhelp6	1793490	123532
39	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0016_carlhelp5.wav	carlhelp5	718190	87436
40	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0004_carlhelp4.wav	carlhelp4	145138	73740
41	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0044_carlhelp3.wav	carlhelp3	2078198	108812
42	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0040_carlhelp2.wav	carlhelp2	1570270	120460
43	assets/parsed/voicemiscellaneous/voicemiscellaneous_audio/0010_carlhelp1.wav	carlhelp1	454078	94092
