# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/voiceneighborhood.omt
0	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0007_jimmycarl13.wav	jimmycarl13	220034	45652
1	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0006_jimmycarl23.wav	jimmycarl23	102940	116102
2	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0005_jimmycarl22.wav	jimmycarl22	44964	57976
3	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0011_jimmycarl21.wav	jimmycarl21	319768	53370
4	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0012_jimmycarl20.wav	jimmycarl20	373138	58640
5	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0013_jimmycarl19.wav	jimmycarl19	432966	130618
6	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0015_jimmycarl18.wav	jimmycarl18	627542	21222
7	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0018_jimmycarl17.wav	jimmycarl17	819434	54932
8	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0017_jimmycarl16.wav	jimmycarl16	755920	63514
9	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0016_jimmycarl15.wav	jimmycarl15	648764	99510
10	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0023_jimmycarl14.wav	jimmycarl14	998932	77276
11	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0010_jimmycarl24.wav	jimmycarl24	272412	47356
12	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0022_jimmygoddard3.wav	jimmygoddard3	985492	11804
13	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0039_jimmybenny2.wav	jimmybenny2	1606678	50062
14	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0030_jimmybenny3.wav	jimmybenny3	1325610	54828
15	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0027_jimmybenny4.wav	jimmybenny4	1179666	57514
16	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0046_jimmybenny5.wav	jimmybenny5	1943218	40556
17	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0034_jimmygoddard1.wav	jimmygoddard1	1458158	24748
18	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0036_jimmygoddard2.wav	jimmygoddard2	1537824	27570
19	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0045_jimmybenny1.wav	jimmybenny1	1915174	28044
20	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0096_jimmycarl26.wav	jimmycarl26	4815960	64574
21	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0031_bennywipe.wav	bennywipe	1380438	14940
22	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0043_jimmybenny1b.wav	jimmybenny1b	1834030	80152
23	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0080_jimmycarl31.wav	jimmycarl31	3774888	41996
24	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0058_jimmymom13.wav	jimmymom13	2523674	37180
25	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0059_jimmymom14.wav	jimmymom14	2560854	86390
26	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0001_jimmymom15.wav	jimmymom15	15134	18788
27	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0052_jimmymom16.wav	jimmymom16	2211174	43630
28	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0041_jimmymom2.wav	jimmymom2	1739868	72498
29	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0053_jimmymom3.wav	jimmymom3	2269066	53350
30	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0054_jimmymom4.wav	jimmymom4	2322416	91810
31	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0021_jimmymom5.wav	jimmymom5	961928	23564
32	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0055_jimmymom6.wav	jimmymom6	2414226	62208
33	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0056_jimmymom7.wav	jimmymom7	2476434	26524
34	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0057_jimmymom8.wav	jimmymom8	2502958	20716
35	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0000_jimmymom1.wav	jimmymom1	8	15126
36	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0073_jimmycarl1.wav	jimmycarl1	3312654	37822
37	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0072_jimmygoddard39.wav	jimmygoddard39	3186446	126208
38	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0076_jimmygoddard38.wav	jimmygoddard38	3489942	52342
39	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0070_jimmygoddard37.wav	jimmygoddard37	3077836	44548
40	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0042_jimmygoddard36.wav	jimmygoddard36	1812366	19522
41	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0071_jimmygoddard35.wav	jimmygoddard35	3122384	64062
