# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/voicepractice.omt
0	assets/parsed/voicepractice/voicepractice_audio/0027_jetpack1.wav	jetpack1	2239530	54380
1	assets/parsed/voicepractice/voicepractice_audio/0000_shrinkray5.wav	shrinkray5	8	61484
2	assets/parsed/voicepractice/voicepractice_audio/0015_shrinkray4.wav	shrinkray4	1074368	72314
3	assets/parsed/voicepractice/voicepractice_audio/0004_shrinkray3.wav	shrinkray3	220834	117756
4	assets/parsed/voicepractice/voicepractice_audio/0005_shrinkray2.wav	shrinkray2	353142	69804
5	assets/parsed/voicepractice/voicepractice_audio/0012_shrinkray1.wav	shrinkray1	897478	41750
6	assets/parsed/voicepractice/voicepractice_audio/0008_scooter6.wav	scooter6	517006	89884
7	assets/parsed/voicepractice/voicepractice_audio/0039_scooter5.wav	scooter5	3891101	147632
8	assets/parsed/voicepractice/voicepractice_audio/0011_scooter4.wav	scooter4	713430	184048
9	assets/parsed/voicepractice/voicepractice_audio/0020_scooter3.wav	scooter3	1491790	105818
10	assets/parsed/voicepractice/voicepractice_audio/0014_scooter2.wav	scooter2	1008118	66250
11	assets/parsed/voicepractice/voicepractice_audio/0007_scooter1.wav	scooter1	461046	33506
12	assets/parsed/voicepractice/voicepractice_audio/0019_jetpack7.wav	jetpack7	1460490	31300
13	assets/parsed/voicepractice/voicepractice_audio/0016_jetpack6.wav	jetpack6	1158458	166636
14	assets/parsed/voicepractice/voicepractice_audio/0018_jetpack5.wav	jetpack5	1362598	97892
15	assets/parsed/voicepractice/voicepractice_audio/0024_jetpack4.wav	jetpack4	1927498	113452
16	assets/parsed/voicepractice/voicepractice_audio/0021_jetpack3.wav	jetpack3	1604186	161892
17	assets/parsed/voicepractice/voicepractice_audio/0023_jetpack2.wav	jetpack2	1837342	90156
18	assets/parsed/voicepractice/voicepractice_audio/0034_shrinkray6.wav	shrinkray6	2802683	141468
19	assets/parsed/voicepractice/voicepractice_audio/0041_baseball2.wav	baseball2	4297939	213864
20	assets/parsed/voicepractice/voicepractice_audio/0026_invisibility2.wav	invisibility2	2158562	80968
21	assets/parsed/voicepractice/voicepractice_audio/0022_invisibility1.wav	invisibility1	1800262	37080
22	assets/parsed/voicepractice/voicepractice_audio/0035_bubble3.wav	bubble3	2956321	179826
23	assets/parsed/voicepractice/voicepractice_audio/0032_bubble2.wav	bubble2	2566559	78090
24	assets/parsed/voicepractice/voicepractice_audio/0013_bubble1.wav	bubble1	939228	38060
25	assets/parsed/voicepractice/voicepractice_audio/0033_rocketship4.wav	rocketship4	2644649	158034
26	assets/parsed/voicepractice/voicepractice_audio/0025_rocketship3.wav	rocketship3	2040950	85930
27	assets/parsed/voicepractice/voicepractice_audio/0002_rocketship2.wav	rocketship2	126652	68914
28	assets/parsed/voicepractice/voicepractice_audio/0029_rocketship1.wav	rocketship1	2373500	37548
29	assets/parsed/voicepractice/voicepractice_audio/0001_grappler4.wav	grappler4	61492	62666
30	assets/parsed/voicepractice/voicepractice_audio/0036_grappler3.wav	grappler3	3182911	376050
31	assets/parsed/voicepractice/voicepractice_audio/0030_grappler2.wav	grappler2	2423205	76908
32	assets/parsed/voicepractice/voicepractice_audio/0017_grappler1.wav	grappler1	1325094	30866
33	assets/parsed/voicepractice/voicepractice_audio/0009_baseball4.wav	baseball4	607259	79314
34	assets/parsed/voicepractice/voicepractice_audio/0028_baseball6.wav	baseball6	2293910	79590
35	assets/parsed/voicepractice/voicepractice_audio/0042_baseball3.wav	baseball3	4511803	213792
36	assets/parsed/voicepractice/voicepractice_audio/0006_baseball1.wav	baseball1	422946	38100
37	assets/parsed/voicepractice/voicepractice_audio/0038_invisibility3.wav	invisibility3	3621627	245618
38	assets/parsed/voicepractice/voicepractice_audio/0040_invisibility4.wav	invisibility4	4038733	198476
39	assets/parsed/voicepractice/voicepractice_audio/0043_Remote2.wav	Remote2	4725595	187724
40	assets/parsed/voicepractice/voicepractice_audio/0003_Remote3.wav	Remote3	195566	19450
41	assets/parsed/voicepractice/voicepractice_audio/0010_remote4.wav	remote4	686573	24240
