# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/voiceretroland.omt
0	assets/parsed/voiceretroland/voiceretroland_audio/0051_jimmyhuman.wav	jimmyhuman	2086014	71802
1	assets/parsed/voiceretroland/voiceretroland_audio/0008_empty.wav	empty	48081	992
2	assets/parsed/voiceretroland/voiceretroland_audio/0013_empty.wav	empty	212029	992
3	assets/parsed/voiceretroland/voiceretroland_audio/0038_jimmyultralord5.wav	jimmyultralord5	1274112	70184
4	assets/parsed/voiceretroland/voiceretroland_audio/0029_jimmyultralord4.wav	jimmyultralord4	763068	74914
5	assets/parsed/voiceretroland/voiceretroland_audio/0028_jimmyultralord3.wav	jimmyultralord3	725980	37088
6	assets/parsed/voiceretroland/voiceretroland_audio/0027_jimmyultralord2.wav	jimmyultralord2	628636	97344
7	assets/parsed/voiceretroland/voiceretroland_audio/0037_jimmyultralord1.wav	jimmyultralord1	1201982	72130
8	assets/parsed/voiceretroland/voiceretroland_audio/0058_jimmylibby26.wav	jimmylibby26	2696992	95576
9	assets/parsed/voiceretroland/voiceretroland_audio/0017_jimmylibby25.wav	jimmylibby25	228669	20992
10	assets/parsed/voiceretroland/voiceretroland_audio/0043_jimmylibby24.wav	jimmylibby24	1617182	83266
11	assets/parsed/voiceretroland/voiceretroland_audio/0010_jimmylibby23.wav	jimmylibby23	59133	69190
12	assets/parsed/voiceretroland/voiceretroland_audio/0040_jimmylibby22.wav	jimmylibby22	1445538	46296
13	assets/parsed/voiceretroland/voiceretroland_audio/0041_jimmylibby21.wav	jimmylibby21	1507210	27626
14	assets/parsed/voiceretroland/voiceretroland_audio/0042_jimmycindy9.wav	jimmycindy9	1534836	82346
15	assets/parsed/voiceretroland/voiceretroland_audio/0045_jimmycindy12.wav	jimmycindy12	1744706	59948
16	assets/parsed/voiceretroland/voiceretroland_audio/0050_jimmycindy11.wav	jimmycindy11	2013742	70292
17	assets/parsed/voiceretroland/voiceretroland_audio/0056_jimmycindy10.wav	jimmycindy10	2535874	88268
18	assets/parsed/voiceretroland/voiceretroland_audio/0021_jimmycarl50.wav	jimmycarl50	328850	34746
19	assets/parsed/voiceretroland/voiceretroland_audio/0000_jimmycarl51.wav	jimmycarl51	8	39430
20	assets/parsed/voiceretroland/voiceretroland_audio/0044_jimmycarl52.wav	jimmycarl52	1700448	44258
21	assets/parsed/voiceretroland/voiceretroland_audio/0060_jimmycarl53.wav	jimmycarl53	2864370	108076
22	assets/parsed/voiceretroland/voiceretroland_audio/0064_jimmycarl54.wav	jimmycarl54	3236216	90252
23	assets/parsed/voiceretroland/voiceretroland_audio/0001_empty.wav	empty	40430	992
24	assets/parsed/voiceretroland/voiceretroland_audio/0002_empty.wav	empty	41422	992
25	assets/parsed/voiceretroland/voiceretroland_audio/0009_jimmyultralord6.wav	jimmyultralord6	49073	10060
26	assets/parsed/voiceretroland/voiceretroland_audio/0004_empty.wav	empty	44113	992
27	assets/parsed/voiceretroland/voiceretroland_audio/0015_empty.wav	empty	214013	992
28	assets/parsed/voiceretroland/voiceretroland_audio/0005_empty.wav	empty	45105	992
29	assets/parsed/voiceretroland/voiceretroland_audio/0014_empty.wav	empty	213021	992
30	assets/parsed/voiceretroland/voiceretroland_audio/0007_empty.wav	empty	47089	992
31	assets/parsed/voiceretroland/voiceretroland_audio/0006_empty.wav	empty	46097	992
32	assets/parsed/voiceretroland/voiceretroland_audio/0003_empty.wav	empty	42414	992
33	assets/parsed/voiceretroland/voiceretroland_audio/0062_jimmyultralord12B.wav	jimmyultralord12B	3055512	90452
34	assets/parsed/voiceretroland/voiceretroland_audio/0046_jimmycarl50.wav	jimmycarl50	1820926	34746
35	assets/parsed/voiceretroland/voiceretroland_audio/0023_jimmyultralord12.wav	jimmyultralord12	388248	78508
36	assets/parsed/voiceretroland/voiceretroland_audio/0025_jimmyultralord11.wav	jimmyultralord11	532416	71800
37	assets/parsed/voiceretroland/voiceretroland_audio/0032_jimmyultralord10.wav	jimmyultralord10	875880	89752
38	assets/parsed/voiceretroland/voiceretroland_audio/0031_jimmyultralord9.wav	jimmyultralord9	838974	36906
39	assets/parsed/voiceretroland/voiceretroland_audio/0063_jimmycarl54.wav	jimmycarl54	3145964	90252
40	assets/parsed/voiceretroland/voiceretroland_audio/0053_jimmycarl53.wav	jimmycarl53	2236246	105132
41	assets/parsed/voiceretroland/voiceretroland_audio/0034_jimmycarl52.wav	jimmycarl52	1005062	44258
42	assets/parsed/voiceretroland/voiceretroland_audio/0033_jimmycarl51.wav	jimmycarl51	965632	39430
43	assets/parsed/voiceretroland/voiceretroland_audio/0055_jimmyultralord13.wav	jimmyultralord13	2396050	139824
44	assets/parsed/voiceretroland/voiceretroland_audio/0020_jimmyhuman1.wav	jimmyhuman1	293435	29022
45	assets/parsed/voiceretroland/voiceretroland_audio/0019_jimmyhuman2.wav	jimmyhuman2	275085	18350
46	assets/parsed/voiceretroland/voiceretroland_audio/0036_jimmyhuman3.wav	jimmyhuman3	1108218	68878
47	assets/parsed/voiceretroland/voiceretroland_audio/0035_jimmyhuman4.wav	jimmyhuman4	1058978	49240
48	assets/parsed/voiceretroland/voiceretroland_audio/0018_jimmyhuman5.wav	jimmyhuman5	251983	23102
49	assets/parsed/voiceretroland/voiceretroland_audio/0022_jimmyhuman6.wav	jimmyhuman6	363596	24652
50	assets/parsed/voiceretroland/voiceretroland_audio/0016_jimmycindy12C.wav	jimmycindy12C	215005	13664
51	assets/parsed/voiceretroland/voiceretroland_audio/0039_jimmycarl53B.wav	jimmycarl53B	1344296	101242
52	assets/parsed/voiceretroland/voiceretroland_audio/0048_jimmycarl54A.wav	jimmycarl54A	1891912	76154
53	assets/parsed/voiceretroland/voiceretroland_audio/0061_jimmycindy12B.wav	jimmycindy12B	2972446	83066
54	assets/parsed/voiceretroland/voiceretroland_audio/0011_jimmycindy12A.wav	jimmycindy12A	128323	60410
55	assets/parsed/voiceretroland/voiceretroland_audio/0012_jimmyultralord6a.wav	jimmyultralord6a	188733	23296
56	assets/parsed/voiceretroland/voiceretroland_audio/0024_jimmyultralord6b.wav	jimmyultralord6b	466756	51858
