# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/voiceschool.omt
0	assets/parsed/voiceschool/voiceschool_audio/0023_jimmybenny10.wav	jimmybenny10	804314	29096
1	assets/parsed/voiceschool/voiceschool_audio/0011_bennywipe.wav	bennywipe	220290	14940
2	assets/parsed/voiceschool/voiceschool_audio/0047_jimmynick7.wav	jimmynick7	2149548	50980
3	assets/parsed/voiceschool/voiceschool_audio/0019_jimmynick6.wav	jimmynick6	529302	109100
4	assets/parsed/voiceschool/voiceschool_audio/0018_jimmynick5.wav	jimmynick5	493774	35528
5	assets/parsed/voiceschool/voiceschool_audio/0017_jimmynick4.wav	jimmynick4	423940	69834
6	assets/parsed/voiceschool/voiceschool_audio/0044_jimmynick3.wav	jimmynick3	1984402	42050
7	assets/parsed/voiceschool/voiceschool_audio/0020_jimmynick26.wav	jimmynick26	638402	68546
8	assets/parsed/voiceschool/voiceschool_audio/0056_jimmynick25.wav	jimmynick25	2876552	84496
9	assets/parsed/voiceschool/voiceschool_audio/0026_jimmynick24.wav	jimmynick24	929308	27074
10	assets/parsed/voiceschool/voiceschool_audio/0027_jimmynick23.wav	jimmynick23	962270	73232
11	assets/parsed/voiceschool/voiceschool_audio/0060_jimmynick22.wav	jimmynick22	3268968	93280
12	assets/parsed/voiceschool/voiceschool_audio/0030_jimmynick21.wav	jimmynick21	1137200	38558
13	assets/parsed/voiceschool/voiceschool_audio/0031_jimmynick20.wav	jimmynick20	1175758	50612
14	assets/parsed/voiceschool/voiceschool_audio/0036_jimmynick2.wav	jimmynick2	1439918	58330
15	assets/parsed/voiceschool/voiceschool_audio/0041_jimmynick19.wav	jimmynick19	1728412	83908
16	assets/parsed/voiceschool/voiceschool_audio/0040_jimmynick18.wav	jimmynick18	1636878	91534
17	assets/parsed/voiceschool/voiceschool_audio/0024_jimmynick17.wav	jimmynick17	835064	67720
18	assets/parsed/voiceschool/voiceschool_audio/0043_jimmynick16.wav	jimmynick16	1860400	124002
19	assets/parsed/voiceschool/voiceschool_audio/0022_jimmynick15.wav	jimmynick15	755354	48960
20	assets/parsed/voiceschool/voiceschool_audio/0042_jimmynick14.wav	jimmynick14	1812320	45652
21	assets/parsed/voiceschool/voiceschool_audio/0007_jimmynick13.wav	jimmynick13	84932	30750
22	assets/parsed/voiceschool/voiceschool_audio/0033_jimmynick12.wav	jimmynick12	1259424	95576
23	assets/parsed/voiceschool/voiceschool_audio/0009_jimmynick11.wav	jimmynick11	135912	31300
24	assets/parsed/voiceschool/voiceschool_audio/0049_jimmynick10.wav	jimmynick10	2261540	62484
25	assets/parsed/voiceschool/voiceschool_audio/0016_jimmynick1.wav	jimmynick1	371366	30566
26	assets/parsed/voiceschool/voiceschool_audio/0002_empty.wav	empty	77718	992
27	assets/parsed/voiceschool/voiceschool_audio/0003_empty.wav	empty	79144	992
28	assets/parsed/voiceschool/voiceschool_audio/0065_Intro_Race_C.wav	Intro Race C	3861014	109364
29	assets/parsed/voiceschool/voiceschool_audio/0064_Intro_Race_B.wav	Intro Race B	3755036	105978
30	assets/parsed/voiceschool/voiceschool_audio/0028_jimmybenny9.wav	jimmybenny9	1035502	57004
