# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/voiceship.omt
0	assets/parsed/voiceship/voiceship_audio/0001_yokian4.wav	yokian4	24144	14394
1	assets/parsed/voiceship/voiceship_audio/0006_empty.wav	empty	43766	992
2	assets/parsed/voiceship/voiceship_audio/0000_yokian1.wav	yokian1	8	24136
3	assets/parsed/voiceship/voiceship_audio/0018_yokian2.wav	yokian2	524694	83180
4	assets/parsed/voiceship/voiceship_audio/0017_yokian3.wav	yokian3	437858	86836
5	assets/parsed/voiceship/voiceship_audio/0005_empty.wav	empty	42774	992
6	assets/parsed/voiceship/voiceship_audio/0012_yokian6.wav	yokian6	182118	26382
7	assets/parsed/voiceship/voiceship_audio/0031_yokiancindy22.wav	yokiancindy22	1358452	38284
8	assets/parsed/voiceship/voiceship_audio/0030_yokian21.wav	yokian21	1296814	61638
9	assets/parsed/voiceship/voiceship_audio/0034_yokiancindy20.wav	yokiancindy20	1478446	60528
10	assets/parsed/voiceship/voiceship_audio/0036_yokian19.wav	yokian19	1579162	106194
11	assets/parsed/voiceship/voiceship_audio/0010_yokian18.wav	yokian18	122265	29074
12	assets/parsed/voiceship/voiceship_audio/0057_yokian17b.wav	yokian17b	2641274	41082
13	assets/parsed/voiceship/voiceship_audio/0064_yokian17.wav	yokian17	3210106	71724
14	assets/parsed/voiceship/voiceship_audio/0044_yokian16.wav	yokian16	1978586	46000
15	assets/parsed/voiceship/voiceship_audio/0046_yokian15B.wav	yokian15B	2112152	32208
16	assets/parsed/voiceship/voiceship_audio/0048_yokian15.wav	yokian15	2171132	44012
17	assets/parsed/voiceship/voiceship_audio/0041_yokian14.wav	yokian14	1879186	26674
18	assets/parsed/voiceship/voiceship_audio/0052_yokian13.wav	yokian13	2359988	44380
19	assets/parsed/voiceship/voiceship_audio/0051_yokian12.wav	yokian12	2321258	38730
20	assets/parsed/voiceship/voiceship_audio/0056_yokian11.wav	yokian11	2587754	53520
21	assets/parsed/voiceship/voiceship_audio/0055_yokian10.wav	yokian10	2530326	57428
22	assets/parsed/voiceship/voiceship_audio/0019_yokian9.wav	yokian9	607874	24656
23	assets/parsed/voiceship/voiceship_audio/0025_yokian8.wav	yokian8	849020	88814
24	assets/parsed/voiceship/voiceship_audio/0024_yokian7.wav	yokian7	820664	28356
25	assets/parsed/voiceship/voiceship_audio/0032_yokian23.wav	yokian23	1396736	24902
26	assets/parsed/voiceship/voiceship_audio/0026_savecarl1_2.wav	savecarl1&2	937834	60080
27	assets/parsed/voiceship/voiceship_audio/0058_jimmyend3.wav	jimmyend3	2710950	42142
28	assets/parsed/voiceship/voiceship_audio/0063_jimmyend2.wav	jimmyend2	3151316	58790
29	assets/parsed/voiceship/voiceship_audio/0068_jimmyend1.wav	jimmyend1	3463728	58698
