class,base_chain,vftable,ctor,n_methods,family,wave,status,owner,confidence,notes
C2DInGameMenu,CLocalGameObject -> CGameObject -> OMediaClassStreamer,0048d414,,17,level_game_controllers,10,todo,,,
C3DAI,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0048df58;0048df68;0048e3b8;0048e3f4;0048e408,,10,base_framework,1,spec,codex,Medium,placeable:3DAI AI state machine base; registers patrol target range FOV state and wander fields
C3DAICar,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0048e604;0048e614;0048ea64;0048eaa0;0048eab4,,4,enemies_ai,3,todo,,,
C3DAIOmtObj,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0048ec40;0048ec50;0048f0a0;0048f0dc;0048f0f0,,1,base_framework,1,spec,codex,Medium,placeable:3AIO AI OMT shape object; registers OmtDatabase/OmtIndex/Radius/TerrainColl and loads 3DSh shape
C3DAISuv,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0048f278;0048f288;0048f6d8;0048f714;0048f728,,2,enemies_ai,3,todo,,,
C3DAITrigger,C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,0048f8b0;0048f8c0;0048fd10;0048fd24,,2,enemies_ai,3,todo,,,placeable:3AIT init:FUN_0040ba70
C3DAbductee,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0048d97c;0048d98c;0048dddc;0048de18;0048de2c,,1,player_friends_npcs,2,spec,codex,Medium,classid:3ABD; non-gam abductee animated leaf registers struggle/stop assets
C3DAnimated,C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,0048fe0c;0048fe1c;0049026c;004902a8;004902bc,,19,base_framework,1,spec,codex,Medium,3D animated base: level gates visibility collision pass and OMedia anim/texture loading
C3DAnimatedSprite,CPickupType -> C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004903e8;004903f8;00490848;0049085c,,1,base_framework,1,spec,codex,Medium,placeable:3ANI animated pickup sprite; registers color/sound/frame-list fields and raw slots advance frames
C3DArrow,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,00490940;00490950;00490da0;00490db4,,2,effects_triggers_nav_cameras_sound,8,todo,,,placeable:3ARR init:FUN_0040f2d0
