ordinal,mangled_name
1,"??0OMedia3DMaterial@@QAE@ABV0@@Z"
2,"??0OMedia3DMaterial@@QAE@XZ"
3,"??0OMedia3DMorphAnim@@QAE@XZ"
4,"??0OMedia3DMorphAnimDef@@QAE@XZ"
5,"??0OMedia3DMorphAnimFrame@@QAE@XZ"
6,"??0OMedia3DPolygon@@QAE@ABV0@@Z"
7,"??0OMedia3DPolygon@@QAE@XZ"
8,"??0OMedia3DShape@@QAE@XZ"
9,"??0OMedia3DShapeAnim@@QAE@XZ"
10,"??0OMedia3DShapeAnimDef@@QAE@XZ"
11,"??0OMedia3DShapeAnimFrame@@QAE@XZ"
12,"??0OMedia3DShapeConverter@@QAE@PAVOMediaStreamOperators@@PAVOMedia3DShape@@@Z"
13,"??0OMedia3DShapeElement@@QAE@XZ"
14,"??0OMediaASEConverter@@QAE@PAVOMediaStreamOperators@@PAVOMedia3DShape@@@Z"
15,"??0OMediaAbstractButton@@QAE@XZ"
16,"??0OMediaAnim@@QAE@XZ"
17,"??0OMediaAnimDef@@QAE@XZ"
18,"??0OMediaAnimFrame@@QAE@XZ"
19,"??0OMediaAnimPeriodical@@QAE@XZ"
20,"??0OMediaApplication@@QAE@W4omt_InitAppHints@@_N@Z"
21,"??0OMediaBroadcaster@@QAE@XZ"
22,"??0OMediaCanvas@@QAE@XZ"
23,"??0OMediaCanvasAnim@@QAE@XZ"
24,"??0OMediaCanvasAnimDef@@QAE@XZ"
25,"??0OMediaCanvasAnimFrame@@QAE@XZ"
26,"??0OMediaCanvasButton@@QAE@XZ"
27,"??0OMediaCanvasConverter@@QAE@PAVOMediaStreamOperators@@PAVOMediaCanvas@@@Z"
28,"??0OMediaCanvasElement@@QAE@XZ"
29,"??0OMediaCanvasFont@@QAE@XZ"
30,"??0OMediaCanvasSlave@@QAE@PAVOMediaEngine@@PAVOMediaCanvas@@@Z"
31,"??0OMediaCaption@@QAE@XZ"
32,"??0OMediaClassStreamer@@QAE@XZ"
33,"??0OMediaCollisionCache@@QAE@XZ"
34,"??0OMediaCosSinTable@@QAE@XZ"
35,"??0OMediaDBObject@@QAE@XZ"
36,"??0OMediaDBObjectStreamLink@@QAE@XZ"
37,"??0OMediaDXCanvas@@QAE@PAVOMediaDXRenderTarget@@PAVOMediaCanvas@@K@Z"
38,"??0OMediaDXFConverter@@QAE@PAVOMediaStreamOperators@@PAVOMedia3DShape@@@Z"
39,"??0OMediaDXFFEffect@@QAE@PAVOMediaDXFFEffectType@@@Z"
40,"??0OMediaDXFFEffectType@@QAE@PAVOMediaHumanInterfaceDevice@@W4omt_FFEffectType@@W4omt_FFEffectSubType@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@GG@Z"
41,"??0OMediaDXHID@@QAE@PAVOMediaInputEngine@@@Z"
42,"??0OMediaDXHIDElement@@QAE@PAVOMediaHumanInterfaceDevice@@@Z"
43,"??0OMediaDXInputEngine@@QAE@PAVOMediaWindow@@@Z"
44,"??0OMediaDXOffscreenBuffer@@IAE@PAVOMediaVideoEngine@@JJW4omt_OffscreenBufferPixelFormat@@@Z"
45,"??0OMediaDXRenderPort@@QAE@PAVOMediaRenderTarget@@@Z"
46,"??0OMediaDXRenderer@@QAE@PAVOMediaVideoEngine@@PAVOMediaRendererDef@@G@Z"
47,"??0OMediaDXSound@@QAE@PAVOMediaDXSoundEngine@@PAVOMediaSound@@@Z"
48,"??0OMediaDXSoundChannel@@QAE@XZ"
49,"??0OMediaDXSoundEngine@@QAE@PAVOMediaWindow@@@Z"
50,"??0OMediaDXVideoEngine@@QAE@PAVOMediaWindow@@@Z"
51,"??0OMediaDataBase@@QAE@PAVOMediaStream@@@Z"
52,"??0OMediaElement@@QAE@XZ"
53,"??0OMediaElementContainer@@QAE@XZ"
54,"??0OMediaEngineFactory@@QAE@XZ"
55,"??0OMediaEventManager@@QAE@XZ"
56,"??0OMediaFFEffect@@IAE@PAVOMediaFFEffectType@@@Z"
57,"??0OMediaFFEffectType@@QAE@PAVOMediaHumanInterfaceDevice@@@Z"
58,"??0OMediaFilePath@@QAE@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@KK@Z"
59,"??0OMediaFilePath@@QAE@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBV0@KK@Z"
60,"??0OMediaFilePath@@QAE@XZ"
61,"??0OMediaFileStream@@QAE@XZ"
62,"??0OMediaFormattedStream@@QAE@PAVOMediaStream@@@Z"
63,"??0OMediaFullscreenWindow@@QAE@PAVOMediaSupervisor@@_N@Z"
64,"??0OMediaGIFConverter@@QAE@PAVOMediaStreamOperators@@PAVOMediaCanvas@@@Z"
65,"??0OMediaHIDElement@@QAE@PAVOMediaHumanInterfaceDevice@@@Z"
66,"??0OMediaHumanInterfaceDevice@@QAE@PAVOMediaInputEngine@@@Z"
67,"??0OMediaInputEngine@@QAE@W4omt_EngineID@@PAVOMediaWindow@@@Z"
68,"??0OMediaLayer@@QAE@XZ"
69,"??0OMediaLight@@QAE@XZ"
70,"??0OMediaListener@@QAE@XZ"
71,"??0OMediaMemStream@@QAE@XZ"
72,"??0OMediaMoveableMem@@QAE@J@Z"
73,"??0OMediaOMTCanvas@@QAE@PAVOMediaOMTRenderTarget@@PAVOMediaCanvas@@K@Z"
74,"??0OMediaOMTConverter@@QAE@PAVOMediaStreamOperators@@PAVOMediaCanvas@@@Z"
75,"??0OMediaOMTRenderPort@@QAE@PAVOMediaRenderTarget@@@Z"
76,"??0OMediaOMTRenderer@@QAE@PAVOMediaVideoEngine@@PAVOMediaRendererDef@@G@Z"
77,"??0OMediaOffscreenBuffer@@IAE@PAVOMediaVideoEngine@@JJW4omt_OffscreenBufferPixelFormat@@@Z"
78,"??0OMediaPNGConverter@@QAE@PAVOMediaStreamOperators@@PAVOMediaCanvas@@@Z"
79,"??0OMediaParticleEmitter@@QAE@XZ"
80,"??0OMediaPeriodical@@QAE@XZ"
81,"??0OMediaPipeline@@QAE@PAVOMediaPipe2RendererInterface@@@Z"
82,"??0OMediaPrimitiveElement@@QAE@XZ"
83,"??0OMediaRadioGroup@@QAE@XZ"
84,"??0OMediaRenderPort@@QAE@PAVOMediaRenderTarget@@@Z"
85,"??0OMediaRenderer@@QAE@PAVOMediaVideoEngine@@PAVOMediaRendererDef@@G@Z"
86,"??0OMediaRetarget@@QAE@W4omt_RetargetId@@@Z"
87,"??0OMediaScroller@@QAE@XZ"
88,"??0OMediaSerialStream@@QAE@XZ"
89,"??0OMediaSingleWindow@@QAE@PAVOMediaSupervisor@@_N1@Z"
90,"??0OMediaSlider@@QAE@XZ"
91,"??0OMediaSound@@QAE@XZ"
92,"??0OMediaSoundChannel@@QAE@XZ"
93,"??0OMediaSoundEngine@@QAE@W4omt_EngineID@@PAVOMediaWindow@@@Z"
94,"??0OMediaStdButton@@QAE@XZ"
95,"??0OMediaStream@@QAE@XZ"
96,"??0OMediaStreamOperators@@QAE@XZ"
97,"??0OMediaStringField@@QAE@XZ"
98,"??0OMediaSupervisor@@QAE@PAV0@@Z"
99,"??0OMediaSupervisor@@QAE@XZ"
100,"??0OMediaSurfaceElement@@QAE@XZ"
101,"??0OMediaVideoEngine@@QAE@W4omt_EngineID@@PAVOMediaWindow@@@Z"
102,"??0OMediaViewPort@@QAE@PAVOMediaSupervisor@@@Z"
103,"??0OMediaWinHID_Keyboard@@QAE@PAVOMediaInputEngine@@@Z"
104,"??0OMediaWinInputEngine@@QAE@PAVOMediaWindow@@_NW4omt_EngineID@@@Z"
105,"??0OMediaWinOffscreenBuffer@@QAE@PAVOMediaVideoEngine@@JJW4omt_OffscreenBufferPixelFormat@@@Z"
106,"??0OMediaWinRtgFilePath@@QAE@XZ"
107,"??0OMediaWinRtgMoveMem@@QAE@XZ"
108,"??0OMediaWinRtgSerialStream@@QAE@XZ"
109,"??0OMediaWinRtgSound@@QAE@XZ"
110,"??0OMediaWinSoundChannel@@QAE@XZ"
111,"??0OMediaWinSoundEngine@@QAE@PAVOMediaWindow@@@Z"
112,"??0OMediaWinVideoEngine@@QAE@PAVOMediaWindow@@@Z"
113,"??0OMediaWindow@@QAE@PAVOMediaSupervisor@@@Z"
114,"??0OMediaWorld@@QAE@XZ"
115,"??0OMediaXSIConverter@@QAE@PAVOMediaStreamOperators@@PAVOMedia3DShape@@@Z"
116,"??1OMedia3DMaterial@@UAE@XZ"
117,"??1OMedia3DMorphAnim@@UAE@XZ"
118,"??1OMedia3DMorphAnimDef@@UAE@XZ"
119,"??1OMedia3DMorphAnimFrame@@UAE@XZ"
120,"??1OMedia3DPolygon@@UAE@XZ"
121,"??1OMedia3DShape@@UAE@XZ"
122,"??1OMedia3DShapeAnim@@UAE@XZ"
123,"??1OMedia3DShapeAnimDef@@UAE@XZ"
124,"??1OMedia3DShapeAnimFrame@@UAE@XZ"
125,"??1OMedia3DShapeConverter@@UAE@XZ"
126,"??1OMedia3DShapeElement@@UAE@XZ"
127,"??1OMediaASEConverter@@UAE@XZ"
128,"??1OMediaAbstractButton@@UAE@XZ"
129,"??1OMediaAnim@@UAE@XZ"
130,"??1OMediaAnimDef@@UAE@XZ"
131,"??1OMediaAnimFrame@@UAE@XZ"
132,"??1OMediaAnimPeriodical@@UAE@XZ"
133,"??1OMediaApplication@@UAE@XZ"
134,"??1OMediaBroadcaster@@UAE@XZ"
135,"??1OMediaCanvas@@UAE@XZ"
136,"??1OMediaCanvasAnim@@UAE@XZ"
137,"??1OMediaCanvasAnimDef@@UAE@XZ"
138,"??1OMediaCanvasAnimFrame@@UAE@XZ"
139,"??1OMediaCanvasButton@@UAE@XZ"
140,"??1OMediaCanvasConverter@@UAE@XZ"
141,"??1OMediaCanvasElement@@UAE@XZ"
142,"??1OMediaCanvasFont@@UAE@XZ"
143,"??1OMediaCanvasSlave@@UAE@XZ"
144,"??1OMediaCaption@@UAE@XZ"
145,"??1OMediaClassStreamer@@UAE@XZ"
146,"??1OMediaCollisionCache@@UAE@XZ"
147,"??1OMediaDBObject@@UAE@XZ"
148,"??1OMediaDBObjectStreamLink@@UAE@XZ"
149,"??1OMediaDXCanvas@@UAE@XZ"
150,"??1OMediaDXFConverter@@UAE@XZ"
151,"??1OMediaDXFFEffect@@UAE@XZ"
152,"??1OMediaDXFFEffectType@@UAE@XZ"
153,"??1OMediaDXHID@@UAE@XZ"
154,"??1OMediaDXInputEngine@@UAE@XZ"
155,"??1OMediaDXOffscreenBuffer@@UAE@XZ"
156,"??1OMediaDXRenderPort@@UAE@XZ"
157,"??1OMediaDXRenderer@@UAE@XZ"
158,"??1OMediaDXSound@@UAE@XZ"
159,"??1OMediaDXSoundChannel@@UAE@XZ"
160,"??1OMediaDXSoundEngine@@UAE@XZ"
161,"??1OMediaDXVideoEngine@@UAE@XZ"
162,"??1OMediaDataBase@@UAE@XZ"
163,"??1OMediaElement@@UAE@XZ"
164,"??1OMediaElementContainer@@UAE@XZ"
165,"??1OMediaEngineFactory@@UAE@XZ"
166,"??1OMediaEventManager@@UAE@XZ"
167,"??1OMediaFFEffect@@MAE@XZ"
168,"??1OMediaFFEffectType@@UAE@XZ"
169,"??1OMediaFilePath@@UAE@XZ"
170,"??1OMediaFileStream@@UAE@XZ"
171,"??1OMediaFormattedStream@@UAE@XZ"
172,"??1OMediaFullscreenWindow@@UAE@XZ"
173,"??1OMediaGIFConverter@@UAE@XZ"
174,"??1OMediaHIDElement@@UAE@XZ"
175,"??1OMediaHumanInterfaceDevice@@UAE@XZ"
176,"??1OMediaInputEngine@@UAE@XZ"
177,"??1OMediaLayer@@UAE@XZ"
178,"??1OMediaLight@@UAE@XZ"
179,"??1OMediaListener@@UAE@XZ"
180,"??1OMediaMemStream@@UAE@XZ"
181,"??1OMediaMoveableMem@@UAE@XZ"
182,"??1OMediaOMTCanvas@@UAE@XZ"
183,"??1OMediaOMTConverter@@UAE@XZ"
184,"??1OMediaOMTRenderPort@@UAE@XZ"
185,"??1OMediaOMTRenderer@@UAE@XZ"
186,"??1OMediaOffscreenBuffer@@UAE@XZ"
187,"??1OMediaPNGConverter@@UAE@XZ"
188,"??1OMediaParticleEmitter@@UAE@XZ"
189,"??1OMediaPeriodical@@UAE@XZ"
190,"??1OMediaPipeline@@UAE@XZ"
191,"??1OMediaPrimitiveElement@@UAE@XZ"
192,"??1OMediaRadioGroup@@UAE@XZ"
193,"??1OMediaRenderPort@@UAE@XZ"
194,"??1OMediaRenderer@@UAE@XZ"
195,"??1OMediaRetarget@@UAE@XZ"
196,"??1OMediaScroller@@UAE@XZ"
197,"??1OMediaSerialStream@@UAE@XZ"
198,"??1OMediaSingleWindow@@UAE@XZ"
199,"??1OMediaSlider@@UAE@XZ"
200,"??1OMediaSound@@UAE@XZ"
201,"??1OMediaSoundChannel@@UAE@XZ"
202,"??1OMediaSoundEngine@@UAE@XZ"
203,"??1OMediaStdButton@@UAE@XZ"
204,"??1OMediaStream@@UAE@XZ"
205,"??1OMediaStreamOperators@@UAE@XZ"
206,"??1OMediaStringField@@UAE@XZ"
207,"??1OMediaSupervisor@@UAE@XZ"
208,"??1OMediaSurfaceElement@@UAE@XZ"
209,"??1OMediaVideoEngine@@UAE@XZ"
210,"??1OMediaViewPort@@UAE@XZ"
211,"??1OMediaWinHID_Keyboard@@UAE@XZ"
212,"??1OMediaWinInputEngine@@UAE@XZ"
213,"??1OMediaWinOffscreenBuffer@@UAE@XZ"
214,"??1OMediaWinRtgFilePath@@UAE@XZ"
215,"??1OMediaWinRtgMoveMem@@UAE@XZ"
216,"??1OMediaWinRtgSerialStream@@UAE@XZ"
217,"??1OMediaWinRtgSound@@UAE@XZ"
218,"??1OMediaWinSoundChannel@@UAE@XZ"
219,"??1OMediaWinSoundEngine@@UAE@XZ"
220,"??1OMediaWinVideoEngine@@UAE@XZ"
221,"??1OMediaWindow@@UAE@XZ"
222,"??1OMediaWorld@@UAE@XZ"
223,"??1OMediaXSIConverter@@UAE@XZ"
224,"??4OMedia3DPolygon@@QAEAAV0@ABV0@@Z"
225,"??4OMedia3DShape@@QAEAAV0@ABV0@@Z"
226,"??5OMediaStreamOperators@@QAEAAV0@AAD@Z"
227,"??5OMediaStreamOperators@@QAEAAV0@AAE@Z"
228,"??5OMediaStreamOperators@@QAEAAV0@AAF@Z"
229,"??5OMediaStreamOperators@@QAEAAV0@AAG@Z"
230,"??5OMediaStreamOperators@@QAEAAV0@AAH@Z"
231,"??5OMediaStreamOperators@@QAEAAV0@AAI@Z"
232,"??5OMediaStreamOperators@@QAEAAV0@AAJ@Z"
233,"??5OMediaStreamOperators@@QAEAAV0@AAK@Z"
234,"??5OMediaStreamOperators@@QAEAAV0@AAM@Z"
235,"??5OMediaStreamOperators@@QAEAAV0@AAN@Z"
236,"??5OMediaStreamOperators@@QAEAAV0@AAO@Z"
237,"??5OMediaStreamOperators@@QAEAAV0@AAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z"
238,"??5OMediaStreamOperators@@QAEAAV0@AAVOMediaClassStreamer@@@Z"
239,"??5OMediaStreamOperators@@QAEAAV0@AA_N@Z"
240,"??5OMediaStreamOperators@@QAEAAV0@PAD@Z"
241,"??5OMediaStreamOperators@@QAEAAV0@PAE@Z"
242,"??5OMediaStreamOperators@@QAEAAV0@PAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z"
243,"??5OMediaStreamOperators@@QAEAAV0@PAVOMediaClassStreamer@@@Z"
244,"??6OMediaStreamOperators@@QAEAAV0@AAD@Z"
245,"??6OMediaStreamOperators@@QAEAAV0@AAE@Z"
246,"??6OMediaStreamOperators@@QAEAAV0@AAF@Z"
247,"??6OMediaStreamOperators@@QAEAAV0@AAG@Z"
248,"??6OMediaStreamOperators@@QAEAAV0@AAH@Z"
